日付,曜日,コート,9-11,11-13,13-15,15-17,備考
7月1日,日,A,〇,〇,〇,×,夏季シングルス県大会予選
7月1日,日,B,〇,〇,〇,×,夏季シングルス県大会予選
7月5日,木,A,〇,〇,〇,×,中体連ソフト大会（予）
7月5日,木,B,×,×,×,×,中体連ソフト大会（予）
7月6日,金,A,〇,〇,×,×,中体連ソフト大会（予）
7月6日,金,B,×,×,×,×,中体連ソフト大会（予）
7月7日,土,A,〇,〇,〇,〇,
7月7日,土,B,〇,〇,〇,〇,
7月8日,日,A,〇,〇,〇,〇,夏季シングルス大会（予）
7月8日,日,B,〇,〇,〇,〇,夏季シングルス大会（予）
7月12日,木,A,〇,×,×,×,
7月12日,木,B,〇,〇,〇,〇,
7月13日,金,A,〇,〇,〇,D,
7月13日,金,B,〇,〇,〇,〇,
7月14日,土,A,〇,〇,〇,〇,
7月14日,土,B,〇,〇,〇,〇,
7月15日,日,A,〇,〇,〇,〇,夏季ダブルス県大会予選会
7月15日,日,B,〇,〇,〇,〇,夏季ダブルス県大会予選会
7月19日,木,A,×,〇,〇,×,
7月19日,木,B,〇,〇,〇,×,
7月20日,金,A,×,〇,〇,×,
7月20日,金,B,〇,〇,〇,×,
7月21日,土,A,×,〇,〇,×,
7月21日,土,B,〇,〇,〇,×,
7月22日,日,A,×,〇,〇,×,
7月22日,日,B,〇,〇,〇,×,
7月26日,木,A,×,〇,〇,×,test
7月26日,木,B,〇,〇,〇,×,
7月27日,金,A,×,〇,〇,×,
7月27日,金,B,〇,〇,〇,×,
7月28日,土,A,×,〇,〇,×,
7月28日,土,B,〇,〇,〇,×,
7月29日,日,A,×,〇,〇,×,
7月29日,日,B,〇,〇,〇,×,
